2024-03-09 16:22:23 - target 0 x: 0, y: 34

2024-03-09 16:22:23 - target 1 x: 137, y: 19

2024-03-09 16:22:23 - target 2 x: 31, y: 5

2024-03-09 16:22:23 - target 3 x: 75, y: 16

2024-03-09 16:22:23 - target 4 x: 59, y: 21

2024-03-09 16:22:23 - target 5 x: 109, y: 33

2024-03-09 16:22:23 - target 6 x: 106, y: 21

2024-03-09 16:22:23 - target 7 x: 22, y: 24

2024-03-09 16:22:23 - target 8 x: 68, y: 32

2024-03-09 16:22:23 - target 9 x: 0, y: 842072208

2024-03-09 16:22:24 - target 0 x: 0, y: 34

2024-03-09 16:22:24 - target 1 x: 137, y: 19

2024-03-09 16:22:24 - target 2 x: 31, y: 5

2024-03-09 16:22:24 - target 3 x: 75, y: 16

2024-03-09 16:22:24 - target 4 x: 59, y: 21

2024-03-09 16:22:24 - target 5 x: 109, y: 33

2024-03-09 16:22:24 - target 6 x: 106, y: 21

2024-03-09 16:22:24 - target 7 x: 22, y: 24

2024-03-09 16:22:24 - target 8 x: 68, y: 32

2024-03-09 16:22:24 - target 9 x: 0, y: 842072208

